"date","REGION","price"
2003-11-23,"QLD1",13.5853303601581
2003-11-23,"SA1",15.8924219520303
2003-11-23,"SNOWY1",14.9212976828014
2003-11-23,"VIC1",14.7809126694003
2003-11-24,"NSW1",17.7635755782146
2003-11-24,"QLD1",15.4835185770088
2003-11-24,"SA1",22.5208520342007
2003-11-24,"SNOWY1",17.7062203156922
2003-11-24,"VIC1",20.2027893349563
2003-11-25,"NSW1",16.6279640052913
2003-11-25,"QLD1",14.3787120540151
2003-11-25,"SA1",24.6696838654423
2003-11-25,"SNOWY1",17.2311355230256
2003-11-25,"VIC1",22.2290739190898
2003-11-26,"NSW1",16.5233867919024
2003-11-26,"QLD1",14.6406735339474
2003-11-26,"SA1",25.6086491490556
2003-11-26,"SNOWY1",17.2869098556988
2003-11-26,"VIC1",21.8659488264393
2003-11-27,"NSW1",17.8366765095972
2003-11-27,"QLD1",15.4617503000182
2003-11-27,"SA1",77.9522549287505
2003-11-27,"SNOWY1",18.1721870083709
2003-11-27,"VIC1",20.9406225553857
2003-11-28,"NSW1",17.7490902521295
2003-11-28,"QLD1",15.2930675668994
2003-11-28,"SA1",82.5986531332805
2003-11-28,"SNOWY1",19.2080647672024
2003-11-28,"VIC1",25.4392548513985
2003-11-29,"NSW1",17.5607455872947
2003-11-29,"QLD1",13.4337893560574
2003-11-29,"SA1",23.778050235214
2003-11-29,"SNOWY1",18.2152858124883
2003-11-29,"VIC1",19.7261178262989
2003-11-30,"NSW1",15.193307337289
2003-11-30,"QLD1",13.1141182182235
2003-11-30,"SA1",16.5246943324429
2003-11-30,"SNOWY1",15.5308027560701
2003-11-30,"VIC1",15.0295426820333
2003-12-01,"NSW1",18.6313631634621
2003-12-01,"QLD1",16.6706818960947
2003-12-01,"SA1",22.3402693990616
2003-12-01,"SNOWY1",19.0080320488455
2003-12-01,"VIC1",19.7278587139882
2003-12-02,"NSW1",21.1306569946722
2003-12-02,"QLD1",18.7668941115821
2003-12-02,"SA1",28.0721400193948
2003-12-02,"SNOWY1",22.1465955443417
2003-12-02,"VIC1",24.8943507300286
2003-12-03,"NSW1",20.7920013076002
2003-12-03,"QLD1",18.1643948841843
2003-12-03,"SA1",25.2573566961282
2003-12-03,"SNOWY1",21.5330676017849
2003-12-03,"VIC1",22.7719001434809
2003-12-04,"NSW1",24.0401278369969
2003-12-04,"QLD1",20.8368684886998
2003-12-04,"SA1",27.7779934259516
2003-12-04,"SNOWY1",23.5685620420467
2003-12-04,"VIC1",25.7163770847669
2003-12-05,"NSW1",20.6011856536101
2003-12-05,"QLD1",18.8884164480107
2003-12-05,"SA1",24.9566843074138
2003-12-05,"SNOWY1",22.0919815881601
2003-12-05,"VIC1",23.3701402273883
2003-12-06,"NSW1",17.5254366359761
2003-12-06,"QLD1",15.4588427189869
2003-12-06,"SA1",20.2945573056112
2003-12-06,"SNOWY1",18.2225605974228
2003-12-06,"VIC1",18.6397626103771
2003-12-07,"NSW1",15.2259760861273
2003-12-07,"QLD1",14.0282907627725
2003-12-07,"SA1",17.2875529123536
2003-12-07,"SNOWY1",15.4821702375952
2003-12-07,"VIC1",15.2849430081237
2003-12-08,"NSW1",20.4536740525205
2003-12-08,"QLD1",20.443241226813
2003-12-08,"SA1",38.3402923550804
2003-12-08,"SNOWY1",21.7718688616339
2003-12-08,"VIC1",36.172969308448
2003-12-09,"NSW1",32.6569260862455
2003-12-09,"QLD1",32.4937173114665
2003-12-09,"SA1",75.7488056389105
2003-12-09,"SNOWY1",32.8312115763457
2003-12-09,"VIC1",62.550037197743
2003-12-10,"NSW1",29.4914429206477
2003-12-10,"QLD1",34.4615085331026
2003-12-10,"SA1",30.0482004098056
2003-12-10,"SNOWY1",29.073536870905
2003-12-10,"VIC1",29.3300230894884
